time_broken_spent_alone,stage_fear,social_event_attendance,going_outside,drained_after_socializing,friends_circle_size,post_frequency,personality,personality_encoded,user_id,event_timestamp,created_timestamp
4.0,0,4.0,6.0,0,13.0,5.0,Extrovert,1,1,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
9.0,1,0.0,0.0,1,0.0,3.0,Introvert,0,2,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
9.0,1,1.0,2.0,1,5.0,2.0,Introvert,0,3,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
0.0,0,6.0,7.0,0,14.0,8.0,Extrovert,1,4,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
3.0,0,9.0,4.0,0,8.0,5.0,Extrovert,1,5,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
1.0,0,7.0,5.0,0,6.0,6.0,Extrovert,1,6,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
4.0,0,9.0,3.0,0,7.0,7.0,Extrovert,1,7,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
2.0,0,8.0,4.0,0,7.0,8.0,Extrovert,1,8,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
10.0,1,1.0,3.0,1,0.0,3.0,Introvert,0,9,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
0.0,0,8.0,6.0,0,13.0,8.0,Extrovert,1,10,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
3.0,0,9.0,6.0,0,15.0,5.0,Extrovert,1,11,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
10.0,1,3.0,1.0,1,4.0,0.0,Introvert,0,12,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
3.0,0,6.0,7.0,0,14.0,10.0,Extrovert,1,13,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
3.0,0,6.0,4.0,0,10.0,7.0,Extrovert,1,14,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
6.0,1,3.0,0.0,1,1.0,3.0,Introvert,0,15,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
0.0,0,4.0,4.0,0,8.0,8.0,Extrovert,1,16,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
9.0,1,0.0,0.0,1,0.0,0.0,Introvert,0,17,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
1.0,0,5.0,6.0,0,10.0,4.0,Extrovert,1,18,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
5.0,1,3.0,0.0,1,4.0,2.0,Introvert,0,19,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
1.0,0,7.0,5.0,0,12.0,5.0,Extrovert,1,20,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
10.0,1,3.0,1.0,1,2.0,1.0,Introvert,0,21,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
2.0,0,8.0,4.0,0,13.0,6.0,Extrovert,1,22,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
1.0,0,6.0,7.0,0,14.0,9.0,Extrovert,1,23,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
9.0,1,2.0,2.0,1,1.0,0.0,Introvert,0,24,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
2.0,0,8.0,7.0,0,15.0,6.0,Extrovert,1,25,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
2.0,0,8.0,4.0,0,11.0,9.0,Extrovert,1,26,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
0.0,0,6.0,4.0,0,14.0,9.0,Extrovert,1,27,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
4.0,0,5.0,7.0,0,6.0,6.0,Extrovert,1,28,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
2.0,0,6.0,4.0,0,12.0,10.0,Extrovert,1,29,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
0.0,0,9.0,4.0,0,14.0,7.0,Extrovert,1,30,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
4.0,0,10.0,4.0,0,9.0,10.0,Extrovert,1,31,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
4.0,0,7.0,7.0,0,7.0,9.0,Extrovert,1,32,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
5.0,1,3.0,3.0,1,0.0,1.0,Introvert,0,33,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
8.0,1,3.0,3.0,0,2.0,0.0,Introvert,0,34,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
10.0,1,1.0,1.0,1,3.0,2.0,Introvert,0,35,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
2.0,0,6.0,5.0,0,14.0,9.0,Extrovert,1,36,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
1.0,0,4.0,4.0,0,15.0,4.0,Extrovert,1,37,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
1.0,0,6.0,4.0,0,10.0,5.0,Extrovert,1,38,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
10.0,1,1.0,2.0,1,2.0,0.0,Introvert,0,39,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
5.0,1,0.0,1.0,1,5.0,0.0,Introvert,0,40,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
3.0,0,5.0,5.0,0,13.0,5.0,Extrovert,1,41,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
1.0,0,4.0,5.0,0,6.268862911795962,10.0,Extrovert,1,42,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
9.0,1,1.0,3.0,1,2.0,2.0,Introvert,0,43,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
6.0,1,2.0,2.0,1,2.0,1.0,Introvert,0,44,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
8.0,1,2.0,1.0,1,5.0,3.0,Introvert,0,45,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
0.0,0,8.0,6.0,0,6.0,10.0,Extrovert,1,46,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
4.0,0,7.0,4.0,0,13.0,10.0,Extrovert,1,47,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
10.0,1,1.0,2.0,1,2.0,0.0,Introvert,0,48,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
5.0,1,1.0,3.0,1,3.0,3.0,Introvert,0,49,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
1.0,0,5.0,6.0,0,8.0,10.0,Extrovert,1,50,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
6.0,1,1.0,0.0,1,3.0,1.0,Introvert,0,51,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
0.0,0,7.0,4.0,0,10.0,10.0,Extrovert,1,52,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
9.0,1,0.0,2.0,1,3.0,2.0,Introvert,0,53,2025-12-17 14:44:19.444815,2025-12-17 14:44:19.444815
